id,name,description,amount,amount_type,type_tax_use,tax_group_id,active,l10n_py_afectacion_iva_id,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/account_id
tax_iva_venta_10,IVA Débito Fiscal 10%,IVA 10%,10.0,percent,sale,tax_group_iva_py,True,l10n_py_account.afectacion_iva_1,base,invoice,
,,,,,,,,,tax,invoice,py_201030102
,,,,,,,,,base,refund,
,,,,,,,,,tax,refund,py_201030102
tax_iva_venta_5,IVA Débito Fiscal 5%,IVA 5%,5.0,percent,sale,tax_group_iva_py,True,l10n_py_account.afectacion_iva_1,base,invoice,
,,,,,,,,,tax,invoice,py_201030102
,,,,,,,,,base,refund,
,,,,,,,,,tax,refund,py_201030102
tax_iva_venta_exenta,IVA Exenta (ventas),Exenta,0.0,percent,sale,tax_group_iva_py,True,l10n_py_account.afectacion_iva_3,base,invoice,
,,,,,,,,,tax,invoice,
,,,,,,,,,base,refund,
,,,,,,,,,tax,refund,
tax_iva_venta_export,IVA 0% Exportación,Export,0.0,percent,sale,tax_group_iva_py,True,l10n_py_account.afectacion_iva_1,base,invoice,
,,,,,,,,,tax,invoice,
,,,,,,,,,base,refund,
,,,,,,,,,tax,refund,
tax_iva_compra_10,IVA Crédito Fiscal 10%,IVA 10%,10.0,percent,purchase,tax_group_iva_py,True,l10n_py_account.afectacion_iva_1,base,invoice,
,,,,,,,,,tax,invoice,py_101030503
,,,,,,,,,base,refund,
,,,,,,,,,tax,refund,py_101030503
tax_iva_compra_5,IVA Crédito Fiscal 5%,IVA 5%,5.0,percent,purchase,tax_group_iva_py,True,l10n_py_account.afectacion_iva_1,base,invoice,
,,,,,,,,,tax,invoice,py_101030503
,,,,,,,,,base,refund,
,,,,,,,,,tax,refund,py_101030503
