id,name,l10n_py_sifen_code,l10n_py_district_id:id,state_id:id,country_id:id
city_py_1,ASUNCION (DISTRITO),1,l10n_py_base.district_py_1,l10n_py_base.state_py_1,base.py
city_py_3,CONCEPCION (MUNICIPIO),3,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_4,ABASTO CUE,4,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_5,AGUA FRIA,5,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_6,AGUARA,6,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_7,AGUERO CUE,7,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_8,ALBASTI,8,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_9,ALBERTO CUE,9,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_10,ANEGADIZO,10,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_11,AQUIDABAN,11,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_12,AQUINO CUE,12,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_13,ARCE CUE,13,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_14,ARMANDIA,14,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_15,ARRECIFE,15,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_16,ARROYITO,16,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_17,BARRERO CUA,17,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_18,BARRERO SAY-YU,18,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_19,BARRIO INMACULADA,19,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_20,BARRIO NORTE,20,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_21,BARRIO SAN ANTONIO,21,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_22,BELLA LOMA,22,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_23,BELEN,23,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_24,BLAS CUE,24,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_25,BOGADO CUE,25,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_26,BOQUERON,26,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_27,C.EPOPEYA NACIONAL,27,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_28,C.EMIL. ROMERO PEREIRA,28,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_29,C. JORGE MIRANDA,29,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_30,C.RECONSTRUCCION,30,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_31,C.N.GONZALEZ,31,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_32,CABO CUE,32,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_33,CAMBA CUA,33,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_34,CAMPO HERMOSO,34,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_35,CAMPOS RAFAEL,35,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_36,CANCHA CUE,36,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_37,CAPILLA,37,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_38,CAPILLA LORETO,38,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_39,CARRETA PASO,39,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_40,CAZAL BOQUERON,40,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_41,CAZAL CUE,41,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_42,CAÑETE CUE,42,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_43,COL.CNEL MONGELOS,43,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_44,COL.COE PORA,44,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_45,COL.E.R. PEREIRA,45,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_46,COL.EXCOMBATIENTES,46,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_47,COL.F.C.C. NORTE,47,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_48,COL.FERNANDO DE LA MORA,48,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_49,COL. GRAL.DIAZ,49,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_50,COL. HERNANDARIAS,50,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_51,COL. JUGADILLA,51,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_52,COL. MARIA AUXILIADORA,52,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_53,COL. PORA,53,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_54,COL. SAN CARLOS,54,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_55,COL. SARGENTO,55,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_56,COL. YBAGOTY,56,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
city_py_57,COL. ZONA OLEROS,57,l10n_py_base.district_py_2,l10n_py_base.state_py_2,base.py
