Codigo concatenado;Codigo de Departamento;Descripcion de Departamento;Codigo de Distrito;Descripcin de Distrito
0;0;ASUNCION;0;ASUNCION
101;1;CONCEPCION;1;CONCEPCION
102;1;CONCEPCION;2;BELEN
103;1;CONCEPCION;3;HORQUETA
104;1;CONCEPCION;4;LORETO
105;1;CONCEPCION;5;SAN CARLOS DEL APA
106;1;CONCEPCION;6;SAN LAZARO
107;1;CONCEPCION;7;YBY YAU
108;1;CONCEPCION;8;AZOTE'Y
109;1;CONCEPCION;9;SARGENTO JOSE FELIX LOPEZ
110;1;CONCEPCION;10;SAN ALFREDO
111;1;CONCEPCION;11;PASO BARRETO
201;2;SAN PEDRO;1;SAN PEDRO DEL YCUAMANDYYU
202;2;SAN PEDRO;2;ANTEQUERA
203;2;SAN PEDRO;3;CHORE
204;2;SAN PEDRO;4;GENERAL ELIZARDO AQUINO
205;2;SAN PEDRO;5;ITACURUBI DEL ROSARIO
206;2;SAN PEDRO;6;LIMA
207;2;SAN PEDRO;7;NUEVA GERMANIA
208;2;SAN PEDRO;8;SAN ESTANISLAO
209;2;SAN PEDRO;9;SAN PABLO
210;2;SAN PEDRO;10;TACUATI
211;2;SAN PEDRO;11;UNION
212;2;SAN PEDRO;12;25 DE DICIEMBRE
213;2;SAN PEDRO;13;VILLA DEL ROSARIO
214;2;SAN PEDRO;14;GENERAL FRANCISCO ISIDORO RESQUIN
215;2;SAN PEDRO;15;YATAITY DEL NORTE
216;2;SAN PEDRO;16;GUAJAYVI
217;2;SAN PEDRO;17;CAPIIBARY
218;2;SAN PEDRO;18;SANTA ROSA DEL AGUARAY
219;2;SAN PEDRO;19;YRYBUCUA
220;2;SAN PEDRO;20;LIBERACION
301;3;CORDILLERA;1;CAACUPE
302;3;CORDILLERA;2;ALTOS
303;3;CORDILLERA;3;ARROYOS Y ESTEROS
304;3;CORDILLERA;4;ATYRA
305;3;CORDILLERA;5;CARAGUATAY
306;3;CORDILLERA;6;EMBOSCADA
307;3;CORDILLERA;7;EUSEBIO AYALA
308;3;CORDILLERA;8;ISLA PUCU
309;3;CORDILLERA;9;ITACURUBI DE LA CORDILLERA
310;3;CORDILLERA;10;JUAN DE MENA
311;3;CORDILLERA;11;LOMA GRANDE
312;3;CORDILLERA;12;MBOCAYATY DEL YHAGUY
313;3;CORDILLERA;13;NUEVA COLOMBIA
314;3;CORDILLERA;14;PIRIBEBUY
315;3;CORDILLERA;15;PRIMERO DE MARZO
316;3;CORDILLERA;16;SAN BERNARDINO
317;3;CORDILLERA;17;SANTA ELENA
318;3;CORDILLERA;18;TOBATI
319;3;CORDILLERA;19;VALENZUELA
320;3;CORDILLERA;20;SAN JOSE OBRERO
401;4;GUAIRA;1;VILLARRICA
