# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
1,ASUNCION (DISTRITO),ASUNCION (DISTRITO),1,1
3,CONCEPCION (MUNICIPIO),CONCEPCION (MUNICIPIO),2,1
4,ABASTO CUE,ABASTO CUE,2,1
5,AGUA FRIA,AGUA FRIA,2,1
6,AGUARA,AGUARA,2,1
7,AGUERO CUE,AGUERO CUE,2,1
8,ALBASTI,ALBASTI,2,1
9,ALBERTO CUE,ALBERTO CUE,2,1
10,ANEGADIZO,ANEGADIZO,2,1
11,AQUIDABAN,AQUIDABAN,2,1
12,AQUINO CUE,AQUINO CUE,2,1
13,ARCE CUE,ARCE CUE,2,1
14,ARMANDIA,ARMANDIA,2,1
15,ARRECIFE,ARRECIFE,2,1
16,ARROYITO,ARROYITO,2,1
17,BARRERO CUA,BARRERO CUA,2,1
18,BARRERO SAY-YU,BARRERO SAY-YU,2,1
19,BARRIO INMACULADA,BARRIO INMACULADA,2,1
20,BARRIO NORTE,BARRIO NORTE,2,1
21,BARRIO SAN ANTONIO,BARRIO SAN ANTONIO,2,1
22,BELLA LOMA,BELLA LOMA,2,1
23,BELEN,BELEN,2,1
24,BLAS CUE,BLAS CUE,2,1
25,BOGADO CUE,BOGADO CUE,2,1
26,BOQUERON,BOQUERON,2,1
27,C.EPOPEYA NACIONAL,C.EPOPEYA NACIONAL,2,1
28,C.EMIL. ROMERO PEREIRA,C.EMIL. ROMERO PEREIRA,2,1
29,C. JORGE MIRANDA,C. JORGE MIRANDA,2,1
30,C.RECONSTRUCCION,C.RECONSTRUCCION,2,1
31,C.N.GONZALEZ,C.N.GONZALEZ,2,1
32,CABO CUE,CABO CUE,2,1
33,CAMBA CUA,CAMBA CUA,2,1
34,CAMPO HERMOSO,CAMPO HERMOSO,2,1
35,CAMPOS RAFAEL,CAMPOS RAFAEL,2,1
36,CANCHA CUE,CANCHA CUE,2,1
37,CAPILLA,CAPILLA,2,1
38,CAPILLA LORETO,CAPILLA LORETO,2,1
39,CARRETA PASO,CARRETA PASO,2,1
40,CAZAL BOQUERON,CAZAL BOQUERON,2,1
41,CAZAL CUE,CAZAL CUE,2,1
42,CANETE CUE,CAÑETE CUE,2,1
43,COL.CNEL MONGELOS,COL.CNEL MONGELOS,2,1
44,COL.COE PORA,COL.COE PORA,2,1
45,COL.E.R. PEREIRA,COL.E.R. PEREIRA,2,1
46,COL.EXCOMBATIENTES,COL.EXCOMBATIENTES,2,1
47,COL.F.C.C. NORTE,COL.F.C.C. NORTE,2,1
48,COL.FERNANDO DE LA MORA,COL.FERNANDO DE LA MORA,2,1
49,COL. GRAL.DIAZ,COL. GRAL.DIAZ,2,1
50,COL. HERNANDARIAS,COL. HERNANDARIAS,2,1
51,COL. JUGADILLA,COL. JUGADILLA,2,1
52,COL. MARIA AUXILIADORA,COL. MARIA AUXILIADORA,2,1
53,COL. PORA,COL. PORA,2,1
54,COL. SAN CARLOS,COL. SAN CARLOS,2,1
55,COL. SARGENTO,COL. SARGENTO,2,1
56,COL. YBAGOTY,COL. YBAGOTY,2,1
57,COL. ZONA OLEROS,COL. ZONA OLEROS,2,1
58,COSTA DE SEDA,COSTA DE SEDA,2,1
59,COE PORA,COE PORA,2,1
60,CUENCA CUE,CUENCA CUE,2,1
61,CUETO POTRERO,CUETO POTRERO,2,1
62,CURUZU NU,CURUZU ÑU,2,1
63,CURUNI,CURUÑI,2,1
64,CANDIDO SILVA,CANDIDO SILVA,2,1
65,DIEGO CUE,DIEGO CUE,2,1
66,DUARTE CUE,DUARTE CUE,2,1
67,ECHAGUE CUE,ECHAGUE CUE,2,1
68,ESTABLECIMIENTO,ESTABLECIMIENTO,2,1
69,ESTRIBO DE PALTA,ESTRIBO DE PALTA,2,1
