# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
1,ASUNCION (DISTRITO),ASUNCION (DISTRITO),1,1
2,CONCEPCION (MUNICIPIO),CONCEPCION (MUNICIPIO),2,1
3,SAN LAZARO,SAN LAZARO,2,1
4,SAN CARLOS,SAN CARLOS,2,1
5,BELEN,BELEN,2,1
6,LORETO,LORETO,2,1
7,HORQUETA,HORQUETA,2,1
8,SAN SALVADOR,SAN SALVADOR,2,1
9,YBY YA'U,YBY YA'U,2,1
10,SAN PEDRO DE YCUAMANDYYU,SAN PEDRO DE YCUAMANDYYU,3,1
11,ANTEQUERA,ANTEQUERA,3,1
12,GRAL. E.AQUINO,GRAL. E.AQUINO,3,1
13,ITACURUBI DEL ROSARIO,ITACURUBI DEL ROSARIO,3,1
14,SAN ESTANISLAO (SANTANI),SAN ESTANISLAO (SANTANI),3,1
15,LIMA,LIMA,3,1
16,NUEVA GERMANIA,NUEVA GERMANIA,3,1
17,TACUATI,TACUATI,3,1
18,UNION,UNION,3,1
19,25 DE DICIEMBRE,25 DE DICIEMBRE,3,1
20,VILLA DEL ROSARIO,VILLA DEL ROSARIO,3,1
21,YATAITY DEL NORTE,YATAITY DEL NORTE,3,1
22,ISIDORO RESQUIN,ISIDORO RESQUIN,3,1
23,CHORE,CHORE,3,1
24,SAN PABLO,SAN PABLO,3,1
25,SAN JOSE DEL ROSARIO,SAN JOSE DEL ROSARIO,3,1
26,CAACUPE,CAACUPE,4,1
27,ALTOS,ALTOS,4,1
28,ARROYOS Y ESTEROS,ARROYOS Y ESTEROS,4,1
29,ATYRA,ATYRA,4,1
30,CARAGUATAY,CARAGUATAY,4,1
31,EMBOSCADA,EMBOSCADA,4,1
32,EUSEBIO AYALA,EUSEBIO AYALA,4,1
33,ISLA PUCU,ISLA PUCU,4,1
34,ITACURUBI DE LA CORDILLERA,ITACURUBI DE LA CORDILLERA,4,1
35,JUAN DE MENA,JUAN DE MENA,4,1
36,NUEVA COLOMBIA,NUEVA COLOMBIA,4,1
37,PIRIBEBUY,PIRIBEBUY,4,1
